VALUE,YEAR,AREA,FLOORS ,ROOMS,REMODEL
Low,1925,3,2,7,0
Low,1935,3,2,7,0
Low,1920,3,2,8,0
High,1920,3,2,6,2
High,1890,5,2,8,0
Low,1950,4,2,7,1
Low,1930,3,2,6,0
Low,1920,3,2,6,0
Low,1930,3,2,6,2
High,1840,4,2,8,1
Low,1950,3,1.5,6,0
High,1925,4,2,9,0
Low,1933,3,2,6,1
Low,1925,3,1,6,0
Low,1910,3,1.5,7,0
Low,1935,3,2,7,0
Low,1950,3,1.5,6,0
Low,1960,3,1,6,0
Low,1952,3,1.5,6,1
Low,1920,3,2,6,0
High,1941,4,2,7,0
High,1930,4,2,8,0
High,1930,3,2,8,1
Low,1950,3,1,6,0
Low,1925,3,1,5,0
Low,1966,3,1,7,0
Low,1935,3,2,7,0
Low,1931,3,2,6,0
Low,1915,3,2,6,1
High,1910,3,2,7,0
High,1928,3,2,6,0
Low,1920,3,2,7,0
High,1920,4,2,7,0
Low,1952,3,1.5,6,0
High,1950,6,1,6,0
High,2001,3,2,7,0
Low,1920,3,1.5,6,0
Low,1920,3,2,6,1
High,1935,3,2,7,0
Low,1970,3,2,7,0
High,1920,4,2,8,2
Low,1950,2,1,4,0
Low,1910,3,1.5,7,0
High,1935,3,2,6,0
Low,1958,3,2,6,0
High,1925,3,2,8,0
High,1935,3,2,8,1
Low,1920,3,2,7,2
Low,1930,3,2,8,0
Low,1920,3,1.5,6,0
Low,1965,3,2,7,0
Low,1931,3,2,7,0
Low,1920,3,2,6,0
Low,2001,3,2,7,0
Low,1935,4,2,10,1
High,1937,4,2,9,2
High,1900,4,2,8,2
High,1940,3,2,8,0
Low,1928,3,2,6,0
High,1935,3,2,7,0
Low,1935,4,2,7,0
High,1925,4,2,8,0
High,1951,4,2,7,2
Low,1920,3,2,7,0
Low,1931,2,2,6,0
Low,1926,5,1,6,1
Low,1926,3,2,7,0
Low,1965,3,2,7,0
High,1935,3,2,7,0
High,1935,3,2,6,0
High,1928,4,2,9,0
Low,1926,4,1.5,6,0
High,1939,3,2,9,0
Low,1928,3,2,7,0
Low,1937,3,2,7,0
Low,1935,3,2,7,0
High,1927,4,2,11,1
Low,1930,4,1.5,5,2
Low,1930,3,1,5,0
Low,1920,3,2,7,0
High,1925,4,2,9,1
Low,1950,3,1.5,6,0
Low,1910,3,2,7,0
High,1935,4,2,6,0
Low,1940,3,2,7,2
Low,1927,3,1,8,0
High,1945,3,2,7,2
High,1930,4,2,8,0
Low,1940,3,2,6,0
Low,1968,3,2,7,1
Low,1927,3,2,6,0
Low,1940,3,2,7,0
Low,1925,3,2,6,0
Low,1935,2,2,7,0
Low,1935,3,2,6,0
Low,1929,3,2,7,0
Low,1918,3,2,7,0
Low,1920,3,2,8,2
Low,1920,3,2,8,0
Low,1935,3,2,7,0
Low,1920,3,2,7,2
High,1930,4,2,6,0
High,1926,4,2,8,0
Low,1945,3,2,6,1
High,2008,5,2,8,0
High,1940,3,2,7,0
Low,1900,3,2,6,0
Low,1920,4,1.5,6,2
High,1932,4,2,7,0
Low,1928,4,2,7,0
High,1930,3,2,7,0
Low,1937,3,2,7,0
Low,1945,3,2,7,0
Low,1932,3,2,7,0
Low,1925,3,1.5,6,1
High,1920,4,2,8,2
Low,1925,3,1.5,6,0
High,1930,3,2,6,0
Low,1938,3,2,6,0
Low,1900,3,2,6,0
Low,1923,4,2,7,2
High,1938,3,2,6,0
High,1925,3,2,8,0
High,1925,3,2,8,0
Low,1900,3,2,7,0
Low,1934,4,1.5,9,0
High,1914,4,2,8,0
Low,1929,4,1.5,7,0
Low,1920,4,2,7,2
High,1925,3,2,7,1
High,1900,6,2,10,0
Low,1915,3,2,8,0
High,1936,4,2,6,0
High,1986,3,2,6,0
Low,1920,3,2,7,0
High,1920,3,2,8,2
High,1940,4,2,6,0
Low,1915,3,2,7,0
Low,1960,3,2,6,0
Low,1900,3,1.5,7,0
Low,1910,4,2,6,0
Low,1925,3,2,8,0
Low,1920,3,2,7,0
High,1900,4,2,7,0
High,1957,6,2,9,1
High,1938,4,2,7,0
High,1925,4,2,8,0
High,1900,5,2,9,0
High,1925,3,2,6,2
Low,1920,3,2,7,2
High,1920,4,2,8,0
High,1930,3,2,7,0
High,1933,3,2,7,0
High,1900,4,2,7,2
High,1900,4,2,8,2
Low,1952,3,2,7,0
High,1936,4,2,7,2
High,1988,4,2,8,0
High,1925,3,2,8,0
High,1910,4,2,9,2
High,1932,3,2,7,0
High,1930,3,2,9,0
Low,1950,3,1.5,6,2
Low,1940,3,2,6,0
High,1920,4,2,8,0
Low,1950,3,1,5,1
High,1930,4,2,10,1
High,1939,4,2,7,0
High,1954,6,1,13,2
Low,1953,3,1,7,0
High,1931,3,2,9,0
High,1938,3,2,6,0
High,1937,4,2,6,2
High,1925,3,2,9,1
High,1933,4,2,8,0
Low,1910,3,2,8,0
High,1915,4,2,7,2
High,1924,5,2,8,0
High,1950,3,2,7,0
High,1920,3,2,8,0
High,1920,3,2,7,0
Low,1952,3,1,5,0
Low,1920,3,2,7,0
High,1920,4,2,8,0
High,1927,5,2,8,1
Low,1920,3,2,8,0
High,1940,4,2,6,2
High,2007,4,2,8,0
High,1927,6,2,10,2
High,1880,4,2,9,1
Low,1900,4,2,8,2
High,1932,5,2,11,2
Low,1950,3,1.5,6,0
Low,1920,4,2,7,0
High,1938,3,2,8,2
High,1951,4,2,7,2
Low,1931,3,2,7,0
High,1918,3,2,8,0
High,1932,4,2,9,0
High,2007,4,2,7,0
Low,1889,3,2,6,0
High,1930,3,2,6,1
High,1910,4,2,8,0
Low,1959,3,1,7,0
Low,1936,3,2,6,0
High,1900,4,2,7,0
High,1925,6,2,12,2
High,1927,4,2,8,0
High,1940,5,2,9,0
Low,1880,4,2,9,0
Low,1930,3,2,7,2
High,1920,3,2,7,0
Low,1900,4,2,8,0
High,1915,4,2,7,0
Low,1920,3,2,6,0
High,1924,4,2,9,0
High,2006,4,2,8,0
Low,1950,3,1,5,0
High,1920,4,2,8,0
High,1930,4,2,8,1
High,1890,4,2.5,7,0
Low,1952,3,2,6,0
High,1940,4,2,7,0
High,1930,3,2,8,1
High,1937,3,2,7,1
Low,1928,3,2,6,0
High,1939,3,2,7,0
High,1951,3,2,6,0
High,1959,3,1,7,0
Low,1950,3,1,7,0
Low,1900,3,2,7,0
High,1938,6,2,12,0
Low,1932,3,2,7,0
High,1920,5,2,13,1
High,1920,4,2,6,0
High,2010,4,2,9,0
High,1931,3,2,8,0
High,1930,4,2,8,2
High,1930,4,2,8,0
Low,1930,3,2,7,0
Low,1950,3,1,7,0
Low,1880,4,2,7,0
Low,1900,3,2,6,0
High,1936,3,2,8,0
Low,1900,3,2,8,0
High,1930,3,2,6,0
Low,1930,3,2,8,0
Low,1964,3,2,6,1
High,1920,3,2,6,0
High,1910,6,2,11,0
High,1930,4,2,9,0
Low,1950,3,1,6,2
High,1890,3,2,8,0
High,1950,4,1,7,2
High,1959,3,1,7,0
High,1951,3,2,7,0
High,1930,4,2,9,1
Low,1936,3,2,6,0
Low,1936,3,2,6,0
High,1939,3,2,6,0
High,1931,4,2,7,1
Low,1910,3,2,7,0
Low,1900,3,2,7,2
Low,1911,4,2,8,0
High,1938,5,2,9,0
Low,1910,4,2,7,0
High,1930,4,2,6,0
Low,1930,3,2,7,0
High,1929,4,2,9,0
Low,1950,2,2,7,2
High,1938,4,2,9,0
High,1923,3,2,9,1
High,1920,4,2,8,2
Low,1930,3,2,6,0
High,1920,4,2,8,0
Low,1950,3,1,5,0
High,1934,4,2,7,0
High,1900,6,2,10,2
High,1932,3,2,6,2
Low,1950,4,2,7,1
Low,1920,3,2,8,0
High,1936,4,2,6,1
High,1920,4,2,8,0
High,1931,3,2,6,0
High,1930,3,2,7,0
High,1938,5,2,10,0
High,1934,4,2,7,1
High,1920,5,2,11,1
Low,1926,3,2,7,1
High,1940,3,2,6,0
High,1932,4,2,6,1
High,1936,5,2,10,0
Low,1930,3,2,8,0
Low,1910,4,2,7,0
High,1920,4,2,7,2
Low,1942,3,2,7,0
High,1936,4,2,8,0
Low,1920,3,2,7,0
High,1880,5,2,9,1
High,1958,4,2,8,2
Low,1835,3,1,6,0
Low,1961,3,2,7,0
High,1930,3,1.5,6,0
High,1930,3,2.5,7,2
Low,1910,3,2,7,0
High,1936,3,2,7,0
High,1934,3,2,6,0
High,1928,4,2,8,0
Low,1935,4,2,8,0
High,1923,4,2,8,2
Low,1956,3,1.5,7,0
High,1936,4,2,8,0
High,1928,4,2,8,0
High,1927,4,2,7,0
Low,1925,3,2,6,2
Low,1900,2,1.5,5,0
High,1930,3,2,7,1
Low,1935,3,2,8,2
High,1925,4,2,7,0
High,1935,4,2,7,2
Low,1930,3,2,7,0
High,1933,3,1.5,6,1
High,1925,3,2,6,0
High,1930,4,2,8,1
High,1920,3,2,7,0
High,1925,3,2,9,0
Low,1928,3,1.5,8,0
Low,1964,3,1.5,6,0
High,1925,3,2,8,0
High,1920,3,2,8,0
High,1925,4,2.5,7,2
Low,1940,4,2,6,0
Low,1925,3,2,6,0
High,1956,4,1,7,0
High,1938,3,2,7,0
Low,1940,3,2,6,0
Low,1961,3,2,6,0
High,1930,4,2,8,1
High,1910,4,2,7,2
High,1937,3,2,6,1
High,1920,4,2,9,0
Low,1901,3,2,7,0
High,1920,4,2,8,1
High,1920,3,2,8,0
Low,1910,4,2,6,0
High,1936,4,2,8,0
High,1935,4,2,8,0
High,1928,3,2,7,0
Low,1910,4,2,9,0
Low,1920,3,2,7,0
High,1920,3,2,9,0
High,1928,3,2,8,0
High,1930,3,2,6,0
High,1932,3,2,6,0
Low,1900,3,2,6,2
High,1930,3,2,7,2
High,1940,4,2,7,0
Low,1937,3,2,6,0
High,1916,6,1.5,9,2
Low,1930,3,2,7,0
Low,1915,2,2,6,0
High,1936,4,2,8,0
High,1940,3,2,7,0
Low,1930,3,2,7,0
High,1910,5,2,8,0
Low,1960,3,1,7,0
High,1938,4,2.5,9,0
High,1940,4,2,6,0
High,1925,4,2,10,2
Low,1928,3,1,5,0
Low,1900,3,2,4,0
High,1964,3,2,7,0
High,1951,4,1.5,7,0
High,1929,3,2,7,1
High,1920,5,2,9,0
High,1986,3,2,7,0
Low,1930,3,2,7,0
Low,1940,3,2,6,0
High,1920,3,2,7,2
Low,1937,3,1.5,7,0
Low,1988,3,2,8,0
High,1964,3,2,7,0
High,1940,3,2,6,0
High,1920,3,2,7,0
High,1920,3,2,6,0
High,1898,4,2,7,2
High,1929,4,2,7,0
Low,1958,3,2,8,0
High,1930,4,2,7,0
High,1920,4,2,8,2
High,1935,4,1,6,1
High,2003,5,2,7,0
High,1940,4,2,8,0
High,1913,4,2,7,2
High,1930,3,2,7,0
High,1938,4,2,6,1
High,1925,3,2,7,0
High,1950,4,2,9,0
High,1945,4,2,8,0
Low,1930,4,2,7,0
Low,1960,3,1,7,0
Low,1930,3,2,7,0
High,1927,4,2,7,0
High,1930,3,2,8,2
High,1905,4,2,8,0
High,1925,3,2,8,0
High,1947,3,2,7,0
High,1932,3,2,7,2
High,1936,4,2,6,0
Low,1920,3,2,7,0
High,1930,3,2,8,0
High,1940,4,2,7,0
Low,1920,3,2,7,0
Low,1925,3,2,6,2
High,1938,5,2,8,0
Low,1920,4,1,6,0
Low,1955,3,1,6,0
High,1935,3,2,7,0
Low,1925,3,1,6,0
High,1930,3,2,7,0
High,1938,4,2,8,0
High,1920,3,2,8,2
Low,1937,3,2,6,0
High,1933,3,2,7,0
Low,1915,4,2,7,0
Low,1958,3,1,8,0
Low,1920,3,2,7,0
High,1910,4,2,7,2
Low,1925,3,2,7,2
High,1951,5,2,7,0
Low,1920,3,1,7,0
Low,1933,3,2,6,0
High,1900,3,2,7,0
High,1951,3,2,7,0
High,1914,3,2,8,1
High,1925,4,1.5,8,0
High,1939,3,2,6,1
High,1924,6,2,10,0
High,1904,4,2,7,0
Low,1930,3,2,7,0
Low,1910,3,2,7,0
Low,1920,3,2,6,0
Low,1935,3,2,8,0
High,1940,3,2,7,0
High,1950,3,2,7,0
High,1920,3,2,7,2
Low,1937,3,2,7,0
High,1935,4,2,10,1
High,1934,3,2,8,0
High,1900,5,2,10,0
High,1930,6,1.5,9,2
High,1938,3,2,9,0
High,1928,3,2,7,1
High,1920,3,2,9,1
High,1930,4,2,7,0
High,1915,5,2,9,0
Low,1920,3,2,7,0
High,1930,4,2,8,0
High,1942,3,2,7,2
High,1935,3,2,7,0
Low,1938,3,2,7,0
Low,1920,3,2,7,1
Low,1931,3,2,6,2
High,1920,3,2,6,1
High,1935,3,2,7,0
High,1960,3,1,8,0
High,1940,3,2,6,0
High,1930,3,2,7,0
Low,1930,3,2,7,0
High,1900,5,2,8,0
Low,1942,3,2,6,0
High,1930,3,1.5,7,0
High,1920,3,2,8,2
High,1930,3,2,8,0
High,1930,4,2,7,0
Low,1920,4,1.5,7,1
Low,1930,3,2,7,0
High,1935,3,2,6,0
High,1941,3,2,8,1
High,1927,3,2,6,0
Low,1910,3,2,7,0
High,1929,4,2,7,0
High,1930,5,2,8,0
High,1930,3,2,8,2
Low,1947,3,2,6,2
High,1920,3,2,7,2
High,1895,6,2,7,0
Low,1931,3,1.5,8,0
Low,1930,2,2,6,0
High,1940,4,2,8,0
High,1930,3,2,7,0
High,1934,4,2,6,1
High,1881,6,2,11,2
High,1932,4,2,7,0
High,1930,3,2,7,0
Low,1930,3,2,6,0
High,1938,3,2,6,0
High,1936,3,2,7,0
High,1930,3,2,7,0
High,1932,3,2,8,0
High,1930,5,2,7,1
Low,1930,4,2,7,0
Low,1920,3,2,6,0
High,1907,4,2,11,2
High,1964,3,2,8,2
High,1919,6,2,14,1
High,1930,4,2,7,0
High,1939,4,2,7,0
Low,1942,3,2,6,0
Low,1924,3,2,6,0
Low,1929,3,2,7,0
High,1930,3,2,6,0
High,1930,4,1,7,2
High,1910,5,2,11,0
Low,1930,3,2,7,0
High,1934,4,2,8,2
High,1996,4,2,7,0
High,1936,3,1.5,7,2
High,1925,3,2,7,0
Low,1923,3,2,7,0
High,1933,3,2,8,0
Low,1917,3,2,6,0
High,1930,5,2,9,1
High,1900,4,2.5,8,2
Low,1930,4,2,8,1
High,1898,6,3,12,0
High,1930,4,2,7,2
High,1935,4,2,8,2
High,1910,5,2.5,9,0
High,1910,6,2,9,0
Low,1930,3,2,7,0
High,1930,4,2,8,1
High,1932,4,1.5,7,0
Low,1930,3,2,7,0
High,1917,5,2,7,0
High,1930,3,2,7,0
High,1954,3,2,9,0
High,1930,3,2,7,0
High,1933,6,2,9,0
High,1925,4,2,7,0
Low,1950,3,1.5,7,0
High,1900,6,2,10,0
High,1930,3,2,7,0
Low,1892,4,2,10,0
High,1924,6,2,13,2
High,1931,5,2,10,1
Low,1941,3,2,7,0
Low,1950,3,1.5,6,0
High,1930,4,2,9,1
High,1920,3,2,7,0
Low,1950,3,1,6,0
High,1902,4,2,7,0
High,1954,4,2,7,0
High,1920,5,2,8,2
High,1930,3,2,8,0
High,1910,6,2,10,0
Low,1950,2,1,4,0
High,1900,5,2,9,0
High,1912,5,2,8,2
High,1935,3,2,7,0
High,1954,4,2,7,0
High,1954,4,2,7,0
High,1886,6,2,8,0
High,1930,4,2,8,2
High,1930,3,2,7,2
High,1940,4,2,6,2
Low,1935,3,2,7,0
High,1918,4,2,7,0
High,1930,4,2,8,0
Low,1935,3,2,7,2
Low,1925,3,2,9,0
High,1913,4,2,8,2
High,1905,6,2,10,0
High,1930,3,2,7,0
Low,1910,4,2,6,0
High,1930,3,2,8,2
High,1928,5,2,9,0
High,1992,4,2,7,0
Low,1935,3,2,6,0
High,1900,4,2,7,0
High,1927,4,2,7,0
High,1950,3,1,5,2
Low,1959,3,2,6,0
Low,1920,3,2,7,0
High,1920,4,2,8,0
High,1930,3,2,7,0
High,1935,4,2,7,1
Low,1950,3,1.5,6,0
Low,1935,3,1,6,1
High,1920,5,2,8,0
High,1930,3,2,6,1
High,1820,5,2,9,0
High,1925,6,2,10,2
High,1900,5,2.5,10,2
High,1953,3,2,6,0
High,1860,5,2,8,2
High,1912,4,2,8,0
High,1900,5,2,8,0
High,1910,5,2.5,9,1
Low,1920,3,2,7,0
Low,1950,3,1,5,0
High,1930,4,2,6,0
High,1938,4,2,9,0
High,1935,4,2,8,0
High,1940,4,2,9,2
High,1931,6,2,12,0
Low,1910,3,2,7,0
High,1915,4,2,8,0
Low,1925,3,1.5,6,0
Low,1969,3,2,7,0
Low,1930,2,2,6,1
Low,1930,3,2,7,2
High,1920,3,2,8,0
Low,1910,4,2,7,2
High,1870,5,1.5,9,0
Low,1920,3,2,8,0
High,1920,4,1.5,7,0
Low,1934,3,2,8,1
Low,1900,4,2,8,1
High,1930,4,2,8,1
High,1930,4,2,7,2
High,1925,5,2,7,0
High,1930,3,2,7,2
High,1920,4,2,9,0
Low,1985,3,2,6,0
Low,1913,3,2,7,2
Low,1930,3,2,6,2
High,1930,4,1,7,0
Low,1940,2,1,5,0
High,1912,4,2,8,1
High,1952,5,2,8,2
Low,1929,3,2,6,0
High,1920,6,2,9,0
Low,1912,3,2,8,1
Low,1931,3,2,6,0
Low,1930,3,2,6,0
High,1919,4,2,7,0
High,1955,4,1,6,2
High,1895,6,2,9,0
High,1890,5,2,11,0
Low,1920,3,1,5,0
High,1918,4,2,8,0
Low,1925,3,1.5,6,0
High,1920,6,2,10,1
Low,1920,2,1,5,0
High,1920,4,2,5,0
Low,1930,3,2,7,2
Low,1925,3,2,7,0
High,1930,3,2.5,8,1
High,1920,3,2,8,0
High,1930,4,2,9,1
Low,1924,3,2,7,0
High,1912,5,2,9,0
High,1920,3,2,7,0
High,1900,5,2.5,9,2
High,1910,5,2,8,0
High,1888,6,2.5,13,0
Low,1920,3,1,5,0
High,1968,3,2,12,0
High,1920,4,2,8,0
Low,1950,3,1,5,0
Low,1920,3,1,5,0
High,1935,3,2,7,2
High,1907,5,2,7,0
Low,1930,3,2,6,0
High,1900,5,2,9,1
Low,1925,4,2,9,0
High,1930,5,2,7,2
High,1930,5,1.5,8,0
High,1900,4,2,8,1
High,1920,4,2,8,2
Low,1927,3,1,6,0
High,1930,6,2,11,2
High,1920,4,2,9,0
High,1935,4,1,6,0
Low,1932,3,2,7,0
High,1924,4,2,9,0
High,1920,3,1,5,0
High,1900,5,2,9,2
High,1948,5,1,6,1
High,1910,5,2,9,2
High,1905,4,2,9,0
Low,1958,4,1,6,0
Low,1950,2,1,5,1
Low,1920,3,1,5,0
Low,1900,3,2,8,0
Low,1950,3,1.5,6,0
High,1908,5,2,7,0
High,1954,2,2,6,0
Low,1940,3,1.5,7,0
Low,1925,3,2,6,0
High,1912,3,2,7,0
High,1950,4,2,9,1
Low,1940,4,1,7,0
High,1900,5,2,8,1
Low,1900,3,2,7,0
High,1920,3,2,9,2
High,1950,4,1.5,7,1
High,1898,5,2,10,1
Low,1954,3,1,6,0
High,1902,5,2.5,9,2
High,1910,5,2,9,2
Low,1957,3,1,6,0
High,1910,6,2,9,1
High,1900,4,2,9,0
Low,1895,3,2,8,0
High,1912,6,2,8,0
High,1930,5,2,11,0
High,1910,3,2,7,2
High,1907,5,2,9,2
High,1910,4,2,8,0
High,1924,4,2,7,0
High,1907,4,2,8,2
Low,1925,3,2,7,0
High,1930,3,2,6,0
High,1963,3,2,8,2
Low,1925,4,1,7,0
High,1960,3,2,6,0
Low,1954,3,1,6,0
Low,1907,4,2,9,0
Low,1930,3,2,7,0
High,1900,4,2,9,1
High,1890,4,2,9,2
High,1932,3,2,7,0
High,1900,4,2,7,2
High,1907,5,2,9,0
High,1910,3,2,8,1
High,1927,3,2,6,1
High,1915,4,2,8,0
Low,1950,2,1,5,2
Low,1950,3,1.5,6,1
High,1910,5,2,12,0
High,1930,3,2,8,0
High,1955,4,1.5,6,0
Low,1910,4,2,8,0
Low,1955,3,1,6,0
High,1930,4,1.5,8,2
Low,1910,4,2,11,0
High,1935,4,2,8,1
High,1900,4,2,8,1
High,1937,3,2,7,0
High,1910,5,2,7,2
Low,1910,4,2,8,0
High,1890,4,2,7,0
High,1890,4,2,8,1
High,1935,6,2,12,0
Low,1955,2,1,6,0
Low,1920,3,2,7,2
Low,1900,3,2,7,0
High,1920,6,2,10,0
High,1930,5,2,9,0
High,1936,4,2,7,2
High,1900,3,2,8,0
Low,1930,3,2,6,1
High,1984,4,2,9,0
High,1920,4,2,8,2
Low,1954,3,1,4,0
High,1940,3,2,6,0
Low,1915,3,2,6,0
High,1910,4,2,7,0
High,1950,4,2,10,0
Low,1915,4,2,10,0
High,1875,4,2,8,0
High,1900,4,2,9,2
Low,1954,2,1,8,0
High,1940,4,2,8,2
High,1875,5,2.5,10,0
Low,1910,4,2,7,0
Low,1900,3,2,7,0
Low,1950,3,1.5,6,1
High,1920,4,2,9,0
High,1912,4,2.5,10,2
High,1930,3,2,8,0
High,1900,4,2,8,0
Low,1930,3,2,6,0
High,1922,3,2,7,0
Low,1957,3,1,6,0
High,1900,6,2.5,12,0
High,1926,4,2,9,0
Low,1905,3,2,6,0
Low,1920,3,2,7,0
High,1930,3,2,9,0
Low,1954,4,1.5,7,1
Low,1915,4,2,9,2
High,1875,3,2,8,2
High,1922,5,2,8,0
High,1930,4,2,8,2
High,1920,3,2,7,2
Low,1911,3,2,6,0
High,1950,3,2,9,2
High,1920,6,2,10,0
High,1900,5,2,10,0
High,1900,3,2,8,2
Low,1925,4,1,8,0
High,1910,4,2,8,0
Low,1921,3,2,6,0
Low,1920,3,2,7,0
Low,1880,2,2,5,0
High,1930,4,2,7,0
Low,1930,3,2,6,0
High,1924,4,2,8,1
High,1925,5,2,8,0
Low,1954,3,1.5,7,0
High,1904,4,2,8,1
High,1910,5,2,9,0
High,2001,4,2,7,0
Low,1945,3,1,6,0
Low,1940,3,2,5,0
High,1920,3,2,7,2
High,1900,5,2,9,0
High,2010,6,2,9,0
Low,1954,3,1.5,6,0
High,1900,4,2,7,0
Low,1885,3,2,5,0
Low,1907,3,2,8,0
High,1910,4,2,7,0
High,2001,4,2,7,0
High,1930,5,2,10,0
Low,1940,3,2,7,1
Low,1940,3,2,8,0
High,1995,3,2,7,0
High,1900,5,2,10,0
High,1887,6,2,10,2
High,1925,3,2,10,1
Low,1954,3,1.5,6,0
Low,1920,3,2,7,0
Low,1925,4,1,5,0
High,1907,6,2.5,10,2
High,1992,3,2,7,0
Low,1912,3,2,5,0
High,1910,4,2,7,0
Low,1935,2,2,5,0
High,1955,4,1.5,7,0
High,1900,5,2,11,2
High,1927,4,2,7,2
Low,1920,4,1,8,0
High,1994,3,2,6,2
Low,1920,3,2,6,0
High,1890,5,2,12,2
Low,1928,3,1,5,0
High,1925,6,2.5,9,2
Low,1955,2,2,5,0
High,1910,5,2,10,0
Low,1952,3,1,5,0
Low,1931,3,2,8,2
High,1920,6,2,9,0
High,1900,4,2,7,2
High,1900,6,2.5,10,0
High,1930,3,2,7,2
High,1880,6,2,8,0
Low,1956,3,1.5,7,0
High,1930,4,2,10,0
High,1910,3,2,8,0
Low,1900,4,2,6,0
Low,1924,3,2,8,0
High,1994,4,2,7,0
Low,1910,3,2,6,0
High,1948,3,2,6,0
High,1920,5,2,9,2
High,1920,4,2,8,0
Low,1950,3,1,5,0
High,1864,5,2,8,0
Low,1954,4,1.5,7,0
High,1910,5,2,8,0
High,1983,5,1.5,10,2
High,1910,4,2,9,2
Low,1900,3,2,7,1
High,1930,5,2,9,1
Low,1920,4,1,6,0
High,1851,6,2,9,0
Low,1940,3,2,7,2
High,1960,3,1,8,0
High,1956,3,2,7,1
Low,1950,3,1.5,7,0
High,1920,4,2,7,0
Low,1920,3,1.5,9,0
Low,1909,3,2,6,0
Low,1910,3,2,7,0
High,1920,5,2,8,0
High,1872,5,2,10,2
Low,1955,3,1.5,6,0
High,1804,4,2,9,2
Low,1877,3,2,8,0
High,1920,5,2,9,0
Low,1939,3,2,7,0
Low,1820,2,2,7,1
Low,1960,3,2,6,0
High,1966,3,2,7,0
High,1899,4,2,12,2
High,1947,4,1,7,1
Low,1950,3,1,5,0
High,1880,4,2,9,0
Low,1954,3,1.5,6,0
High,1898,4,2,8,0
High,1942,3,1,7,2
High,1900,5,2,8,1
Low,1926,3,2,6,0
Low,1984,2,2,5,0
Low,1955,3,1.5,6,0
High,1906,5,2.5,11,0
High,1900,5,2,9,0
Low,1963,3,1,8,0
High,1910,4,2,10,0
High,1910,4,2,8,0
High,1900,4,2,8,2
High,1890,5,2,8,0
High,1920,5,2,9,0
Low,1929,3,2,7,0
High,1864,4,2,8,0
High,1950,4,1,5,0
Low,1924,4,1,9,0
Low,1934,3,2,7,0
High,1923,3,2,8,2
High,1900,5,2,8,0
Low,1880,3,2,7,0
Low,1900,4,2,8,1
Low,1939,3,2,8,0
Low,1984,2,2,5,0
High,1915,5,2,9,0
Low,1930,3,1,5,0
High,1920,4,2,7,0
Low,1900,4,2,6,0
Low,1954,3,1,5,0
High,1901,5,2,11,0
Low,1905,4,2,7,0
Low,1954,3,1,6,0
Low,1954,3,1.5,6,0
Low,1925,3,2,8,0
Low,1912,3,2,8,0
Low,1950,3,1,6,0
High,1887,4,2,9,2
Low,1954,3,1,5,0
Low,1940,3,2,7,0
High,1880,5,2,9,2
High,1900,4,1.5,8,0
High,1888,5,2,9,0
High,1938,4,2,7,2
Low,1993,3,2,7,0
High,1890,6,2,11,0
High,1930,4,2,8,0
Low,1920,3,2,8,0
Low,1915,4,2,7,0
Low,1959,3,1,5,0
High,1950,6,1,7,0
Low,1929,3,2,6,0
Low,1955,3,1,6,0
Low,1950,3,1,6,0
High,1899,4,2,9,0
High,1887,4,2,7,2
Low,1920,3,2,8,1
Low,1940,3,2,7,0
Low,1950,3,1,6,0
High,1900,4,2,8,0
Low,1900,3,2,7,0
Low,1912,3,2,7,0
High,1890,5,2,8,0
High,1864,4,2,9,2
High,1900,6,2,10,2
Low,1920,3,2,7,0
High,1907,6,2,12,0
High,1920,4,2,7,2
High,1886,6,2,12,0
High,1930,4,2,6,0
High,1907,5,2,9,0
High,1887,4,2,7,0
Low,1955,3,1.5,6,0
Low,1955,2,1,5,0
Low,1931,3,2,6,0
Low,1895,4,2,8,0
High,1900,4,1.5,7,2
Low,1930,3,2,7,0
Low,1930,5,1,9,0
Low,1950,3,1,5,0
High,1900,6,2,9,2
Low,1930,2,1,5,0
High,1925,5,2,7,1
Low,1932,4,1,9,2
High,1910,4,2,6,1
High,1988,3,2,7,0
Low,1932,3,2,7,0
High,1910,5,2,9,0
High,1880,5,2,10,0
High,1895,5,2,11,0
Low,1910,3,1.5,6,2
Low,1929,2,1,5,1
High,1950,4,2,6,0
Low,1889,3,2,6,0
High,1963,4,2,8,0
Low,1958,3,1,4,0
High,1920,3,2,8,1
High,1880,5,2,9,0
High,1900,5,2,8,0
Low,1930,3,2,8,0
Low,1965,3,1,5,0
High,1910,5,2,9,2
High,1905,4,2,7,0
Low,1900,4,2,7,0
Low,1920,4,1,5,0
Low,1930,4,2,8,0
Low,1880,3,2,6,0
Low,1964,3,1.5,6,0
Low,1925,4,2,8,0
High,1887,4,2,9,2
High,1922,3,2,6,0
Low,1909,3,1,5,0
Low,1929,3,1,5,0
High,1920,3,2,7,2
High,1892,6,2,10,0
Low,1952,4,1,6,0
High,1900,5,2,10,0
Low,1955,3,1.5,5,0
Low,1925,3,1,6,0
High,1900,4,2,7,2
High,1949,4,2,8,0
Low,1920,4,2,9,0
Low,1930,4,1,6,0
Low,1920,3,2,6,0
Low,1955,3,1.5,7,0
High,1930,3,2,7,0
Low,1910,3,2,7,0
High,1910,5,2,9,0
High,1910,5,2,10,1
Low,1930,3,1,5,0
Low,1960,4,1,7,0
Low,1938,3,2,7,0
Low,1920,3,2,7,2
High,2006,5,1.5,10,0
